DRUG_CONCEPT_ID,STANDARD_CONCEPT_NAME,STANDARD_CONCEPT_CODE,STANDARD_VOCABULARY
42899543,oyster shell calcium carbonate preparation,1311062,RxNorm
42902433,budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT Metered Dose Inhaler [Symbicort],1359546,RxNorm
42902759,labetalol hydrochloride 5 MG/ML Cartridge,1359872,RxNorm
43011816,"heparin sodium, porcine 100 UNT/ML Injectable Solution",1361048,RxNorm
43011826,"heparin sodium, porcine 1000 UNT/ML Injectable Solution",1361226,RxNorm
43011850,"heparin sodium, porcine 5000 UNT/ML Injectable Solution",1361615,RxNorm
43011897,"5 ML heparin sodium, porcine 100 UNT/ML Prefilled Syringe",1362063,RxNorm
43011962,"heparin sodium, porcine 10000 UNT/ML Injectable Solution",1362831,RxNorm
43013024,apixaban,1364430,RxNorm
43013027,apixaban 2.5 MG Oral Tablet [Eliquis],1364441,RxNorm
43013031,apixaban 5 MG Oral Tablet [Eliquis],1364447,RxNorm
43559979,0.5 ML hydromorphone hydrochloride 1 MG/ML Prefilled Syringe,1433251,RxNorm
43560451,albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution,1437702,RxNorm
45776867,Bifidobacterium animalis,1550045,RxNorm
46233969,3 ML insulin lispro 100 UNT/ML Pen Injector,1652639,RxNorm
46234171,ustekinumab 90 MG/ML Injection,1654080,RxNorm
46275082,50 ML rituximab 10 MG/ML Injection,1657867,RxNorm
46275433,piperacillin 3000 MG / tazobactam 375 MG Injection,1659137,RxNorm
46275507,"1 ML heparin sodium, porcine 5000 UNT/ML Injection",1659263,RxNorm
46275916,1 ML epinephrine 1 MG/ML Injection,1660014,RxNorm
46287328,ceftriaxone 1000 MG Injection,1665021,RxNorm
46287343,verapamil hydrochloride 2.5 MG/ML Injection,1665058,RxNorm
46287349,cefepime 2000 MG Injection,1665088,RxNorm
46287372,1 ML lorazepam 2 MG/ML Injection,1665188,RxNorm
46287620,5 ML midazolam 1 MG/ML Injection,1666800,RxNorm
35603226,2 ML furosemide 10 MG/ML Injection,1719290,RxNorm
35603238,1 ML haloperidol 5 MG/ML Injection,1719646,RxNorm
35606190,2 ML alfentanil 0.5 MG/ML Injection,1723206,RxNorm
35606395,1 ML diphenhydramine hydrochloride 50 MG/ML Cartridge,1723776,RxNorm
35603600,1 ML hydromorphone hydrochloride 2 MG/ML Injection,1724276,RxNorm
35603815,bupivacaine hydrochloride 7.5 MG/ML Injection,1724785,RxNorm
35603838,bupivacaine hydrochloride 5 MG/ML Injection,1724882,RxNorm
35604843,morphine sulfate 1 MG/ML Injection,1728802,RxNorm
35605844,1 ML morphine sulfate 4 MG/ML Injection,1732006,RxNorm
35603428,2 ML fentanyl 0.05 MG/ML Injection,1735003,RxNorm
35603429,fentanyl 0.05 MG/ML Injection,1735004,RxNorm
35603430,10 ML fentanyl 0.05 MG/ML Injection,1735006,RxNorm
35604102,1 ML paricalcitol 0.002 MG/ML Injection,1736931,RxNorm
35604356,5 ML lidocaine hydrochloride 20 MG/ML Injection,1737761,RxNorm
35604360,lidocaine 0.04 MG/MG Medicated Patch,1737778,RxNorm
